Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
male,28.3,Non_Verified,bicurious,Submisive,Nobody,before_3_days,2017-02-19,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,43.4,Non_Verified,Heterosexual,Switch,Nobody,before_1_days,2017-12-04,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,41.4,Non_Verified,Homosexual,Submisive,Men,before_4_days,2012-06-24,30,0.0,7.0,High_risk,00,0 days 00:00:00.000000000,4.0
male,36.2,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2012-06-28,51,0.0,0.0,High_risk,00,0 days 22:17:00.000000000,2.0
male,29.9,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2012-01-07,209,0.0,0.0,High_risk,00,0 days 00:46:00.000000000,1.0
male,52.3,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2012-02-07,120,0.0,0.0,High_risk,00,0 days 06:46:00.000000000,
female,28.8,Non_Verified,bicurious,Dominant,Nobody,before_1_days,2012-04-07,11,0.0,0.0,High_risk,00,0 days 00:02:00.000000000,
female,34.2,Verified,Heterosexual,Switch,Nobody,before_3_days,2012-08-22,1894,2.0,36.0,High_risk,28,0 days 04:44:00.000000000,21.0
male,32.4,Administrator,,,Nobody,before_1_days,2009-10-05,1275,0.0,0.0,High_risk,11,0 days 06:14:00.000000000,8.0
male,42.9,Non_Verified,Heterosexual,Dominant,Nobody,before_1671_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,47.4,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.2,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_49_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
